HitCorrect,age,comments,descr_left,descr_left_condition,descr_right,descr_right_condition,endTime,enjoyment,experiment_id,languages,nonselected_descr_condition,picture,rt_trial,selected_descr_condition,selected_descr_position,selections,startDate,startTime,timeSpent,trial_number,submission_id,anon_id
404,35,,a gladiator movie dvd case on a travel luggage bag,caption_coco,"There is a DVD case that contains a film featuring gladiators, which is prominently placed on top of a piece of travel luggage. This luggage bag is being used for travel purposes and is currently showcasing this specific DVD case that pertains to the movie genre focused on gladiatorial combat.",caption_verbose,1746825920910,0,informativity.json,English,caption_coco,sampled_images_corrected_format_2/000000272097.jpg,14.728,caption_verbose,right,['right'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,1,-OPqw3CdUVUkxygX0wzq,0
404,35,,A young man brushing his teeth while wearing glasses.,caption_coco,"A young man wearing glasses is brushing his teeth, with a toothbrush in his mouth, while someone takes his picture.",caption_composite,1746825920910,0,informativity.json,English,caption_composite,sampled_images_corrected_format_2/000000104543.jpg,19.05,caption_coco,left,['left'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,2,-OPqw3CdUVUkxygX0wzq,0
404,35,,"A young child, who appears to be quite small in stature, is currently engaging in playtime activities inside a luggage bag that is placed on a smooth wooden floor surface. The child seems to be enjoying this playful moment in the comfortable confines of the bag, while the wooden floor serves as a solid and sturdy base for their imaginative adventures.",caption_verbose,"The image shows a child sitting inside a black bag or suitcase placed on a flat surface. The child has short hair and is wearing a white shirt. The background includes a bookshelf filled with various books, a blue basket, and multiple objects such as fans and boxes. There is also a piece of cardboard on the floor near the bag. The lighting in the room is bright.",caption_gpt4o,1746825920910,0,informativity.json,English,caption_verbose,sampled_images_corrected_format_2/000000233143.jpg,18.868,caption_gpt4o,right,['right'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,3,-OPqw3CdUVUkxygX0wzq,0
404,35,,"The image shows a man in a black long-sleeve shirt and black pants positioned on a pink mat. He is in a crawling pose with one hand on the ground and the other hand holding a piece of food, which he is bringing towards his mouth. There are crumbs on the mat near him. The background is gray.",caption_gpt4o,"A man is engaged in the physical activity of performing a push-up, which involves lowering and raising his body by using his arms in a repetitive motion. In the midst of completing this exercise, he takes a moment to take a bite of some food, which brings an interesting juxtaposition between his workout and the act of eating.",caption_verbose,1746825920910,0,informativity.json,English,caption_verbose,sampled_images_corrected_format_2/000000438186.jpg,14.128,caption_gpt4o,left,['left'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,4,-OPqw3CdUVUkxygX0wzq,0
404,35,,Many black and white cows are standing in a row,caption_coco,"A row of very cute black and white cows is lined up side by side, with baby cows standing next to them. This bunch of cattle is standing together, creating a pleasant scene of cows and their young.",caption_composite,1746825920910,0,informativity.json,English,caption_composite,sampled_images_corrected_format_2/000000032909.jpg,24.185,caption_coco,left,['left'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,5,-OPqw3CdUVUkxygX0wzq,0
404,35,,"The image features a man with gray hair, wearing a striped shirt. He is holding two white game controllers, one in each hand. The background consists of wooden paneling. The man's facial expression shows a slight smile, and he appears to be engaged with the controllers.",caption_gpt4o,a man wearing a gray shirt is playing a video game,caption_coco,1746825920910,0,informativity.json,English,caption_gpt4o,sampled_images_corrected_format_2/000000274977.jpg,19.646,caption_coco,right,['right'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,6,-OPqw3CdUVUkxygX0wzq,0
404,35,,"The image features a golden retriever lying on green grass. The dog is positioned to the right side of the frame, facing forward, with its tongue out. In front of the dog is a yellow frisbee. The background includes some trees with green foliage, and the area is well-lit, suggesting it is daytime. There is also a wooden fence visible in the distance.",caption_gpt4o,"A golden-colored dog is comfortably positioned on the grass in the yard, with its mouth wide open, suggesting a relaxed state.",caption_verbose,1746825920910,0,informativity.json,English,caption_gpt4o,sampled_images_corrected_format_2/000000293130.jpg,15.966,caption_verbose,right,['right'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,7,-OPqw3CdUVUkxygX0wzq,0
404,35,,"A tree filled with many birds under a blue sky features a group of large red birds, as well as several parakeets, perched in the top branches. These birds are sitting together, creating a lively scene among the treetops.",caption_composite,Many birds sit in the top branches of a tree. ,caption_coco,1746825920910,0,informativity.json,English,caption_coco,sampled_images_corrected_format_2/000000056134.jpg,16.147,caption_composite,left,['left'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,8,-OPqw3CdUVUkxygX0wzq,0
404,35,,"In a specific area characterized by the presence of lush green grass, there are two zebras that can be observed. They are situated in close proximity to a collection of trees, which adds a natural backdrop to the scene.",caption_verbose,Two zebras are in the grass near some trees.,caption_coco,1746825920910,0,informativity.json,English,caption_coco,sampled_images_corrected_format_2/000000053916.jpg,10.999,caption_verbose,left,['left'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,9,-OPqw3CdUVUkxygX0wzq,0
404,35,,"In the midst of a natural setting, there are two kites that are vividly decorated with a variety of bright and vibrant colors, and they have become ensnared among the branches of several trees.",caption_verbose,Two colorful kites are caught up in the trees. ,caption_coco,1746825920910,0,informativity.json,English,caption_coco,sampled_images_corrected_format_2/000000561714.jpg,11.267,caption_verbose,left,['left'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,10,-OPqw3CdUVUkxygX0wzq,0
404,35,,"A young boy is playing in the yard, engaging in the activity of throwing a Frisbee into the open space around him on a bright and sunny day. The weather is clear, providing a perfect outdoor environment for him to enjoy this recreational pastime.",caption_verbose,"A little boy is engaged in a game of frisbee, raring back with a red frisbee in a lush green field. He is actively tossing the frisbee across the yard on a sunny day, with the frisbee firmly in his hands as he prepares to throw.",caption_composite,1746825920910,0,informativity.json,English,caption_verbose,sampled_images_corrected_format_2/000000517468.jpg,23.048,caption_composite,right,['right'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,11,-OPqw3CdUVUkxygX0wzq,0
404,35,,"The image features a close-up view of an individual who is gripping a hot dog. This detail-oriented perspective allows for a clear focus on the person's hand as they hold the food item, providing insight into the scene where the hot dog is being prepared to be eaten or enjoyed.",caption_verbose,"A close-up image features a hot dog in a bun, wrapped in white paper and prominently smeared with an abundance of yellow mustard. The hot dog is held by a person, showcasing the vivid contrast between the glistening mustard and the bun.",caption_composite,1746825920910,0,informativity.json,English,caption_verbose,sampled_images_corrected_format_2/000000506873.jpg,10.098,caption_composite,right,['right'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,12,-OPqw3CdUVUkxygX0wzq,0
404,35,,"In a library setting, there is a canine companion of a deep black hue, commonly referred to as a black dog, that is present alongside its human owner. The two of them are located within the confines of the library, surrounded by books and the serene atmosphere that typically characterizes such a space dedicated to reading and learning.",caption_verbose,a black dog with its owner in the library,caption_coco,1746825920910,0,informativity.json,English,caption_coco,sampled_images_corrected_format_2/000000074001.jpg,22.232,caption_verbose,left,['left'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,13,-OPqw3CdUVUkxygX0wzq,0
404,35,,"A man is positioned in a skiing posture, gripping a pair of skiing poles firmly in his hands. He is actively engaged in the sport as he bends his knees and body forward while navigating down a snow-covered slope on his skis.",caption_verbose,"A man wearing a colorful outfit is skiing down a steep slope on a sunny day. He is crouched low, bending while holding skiing poles, as he slides down the hill in motion.",caption_composite,1746825920910,0,informativity.json,English,caption_verbose,sampled_images_corrected_format_2/000000469913.jpg,17.582,caption_composite,right,['right'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,14,-OPqw3CdUVUkxygX0wzq,0
404,35,,Two zebra standing next to each other on a dirt field.,caption_coco,"The image shows two zebras in a natural outdoor setting. One zebra is walking towards the right, while the other is facing away, near a log. The ground is sandy, and there are some wooden logs and tree stumps visible in the background. The zebras have distinctive black and white stripes.",caption_gpt4o,1746825920910,0,informativity.json,English,caption_coco,sampled_images_corrected_format_2/000000536716.jpg,14.351,caption_gpt4o,right,['right'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,15,-OPqw3CdUVUkxygX0wzq,0
404,35,,"In a sunny field, two brown bear cubs are play fighting and tussling together in the grass. They are seen wrestling near some rocks, rolling around and enjoying their time in the open. Their playful interactions showcase their youthful energy and curiosity as they engage in various playful antics.",caption_composite,"In a wide and open area, two young bears can be observed engaging in a playful fight with each other. These bears, full of youthful energy and enthusiasm, are wrestling and tumbling around as they seem to enjoy their time together in this expansive outdoor space. Their playful antics involve a variety of moves, as they interact in a way that is characteristic of their age and species.",caption_verbose,1746825920910,0,informativity.json,English,caption_verbose,sampled_images_corrected_format_2/000000377282.jpg,6.979,caption_composite,left,['left'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,16,-OPqw3CdUVUkxygX0wzq,0
404,35,,"The image shows a grassy field with several cows. There are two brown and white cows prominently standing in the foreground, and a few black and white cows nearby, some standing and others lying down. In the background, additional cows can be seen, and there are trees and shrubs surrounding the area. The grass appears lush and green, indicating a well-maintained pasture.",caption_gpt4o,A herd of cattle standing on a  lush green field.,caption_coco,1746825920910,0,informativity.json,English,caption_gpt4o,sampled_images_corrected_format_2/000000344897.jpg,5.381,caption_coco,right,['right'],Fri May 09 2025 22:16:52 GMT+0100 (British Summer Time),1746825412834,8.467933333333333,17,-OPqw3CdUVUkxygX0wzq,0
